decIP_src_ipaddr_cache,decIP_dst_ipaddr_cache,src_port_cache,dst_port_cache,protocol_cache,flow_ack_counter,flow_psh_counter,flow_syn_counter,flow_active_start_time_stamp,flow_duration,flow_total_inactive_duration,flow_total_packets,forward_total_packets,flow_active_segments,flow_current_time_stamp,flow_min_duration,flow_start_time_stamp,flow_total_active_duration,flow_total_length,forward_total_length,fw_win_byt,Packet Length Mean,Subflow Fwd Bytes
192.168.10.05,23.217.41.219,49197.0,80.0,6.0,9.0,3.0,1.0,148319718.0,109928686.0,148319718.0,10.0,10.0,1.0,148353069.0,0.0,38424383.0,255428.0,853.0,853.0,65535.0,85.3,10.0
192.168.10.05,192.168.10.03,49159.0,445.0,6.0,16.0,0.0,0.0,160539285.0,150171791.0,502583693.0,16.0,16.0,5.0,160599575.0,0.0,10427784.0,69951.0,700.0,700.0,254.0,43.75,16.0
192.168.10.05,192.168.10.03,49191.0,389.0,6.0,12.0,8.0,2.0,37129790.0,584055.0,0.0,14.0,14.0,0.0,37713845.0,0.0,37129790.0,0.0,5536.0,5536.0,8192.0,395.42857142857144,14.0
192.168.10.05,192.168.10.03,49190.0,49671.0,6.0,12.0,4.0,2.0,51092422.0,14274505.0,51092422.0,14.0,14.0,1.0,51093011.0,0.0,36818506.0,59555.0,2962.0,2962.0,8192.0,211.57142857142858,14.0
192.168.10.03,192.168.10.05,88.0,49185.0,6.0,8.0,2.0,2.0,36196177.0,3674.0,0.0,8.0,8.0,0.0,36199851.0,0.0,36196177.0,0.0,714.0,714.0,8192.0,89.25,8.0
192.168.10.03,192.168.10.05,88.0,49189.0,6.0,10.0,2.0,2.0,36809400.0,1619.0,0.0,10.0,10.0,0.0,36811019.0,0.0,36809400.0,0.0,3454.0,3454.0,8192.0,345.4,10.0
192.168.10.03,192.168.10.05,88.0,49183.0,6.0,8.0,2.0,2.0,36174263.0,5017.0,0.0,8.0,8.0,0.0,36179280.0,0.0,36174263.0,0.0,3288.0,3288.0,8192.0,411.0,8.0
172.217.12.195,192.168.10.05,443.0,49217.0,6.0,13.0,5.0,1.0,90753037.0,2356455.0,0.0,13.0,13.0,0.0,93109492.0,0.0,90753037.0,0.0,5096.0,5096.0,42780.0,392.0,13.0
192.168.10.05,23.15.04.09,49227.0,80.0,6.0,15.0,1.0,1.0,167631608.0,71963475.0,167631608.0,16.0,16.0,1.0,167631608.0,0.0,95668133.0,41625.0,856.0,856.0,8192.0,53.5,16.0
23.15.04.19,192.168.10.05,80.0,49225.0,6.0,4.0,1.0,2.0,95683531.0,18215.0,0.0,4.0,4.0,0.0,95701746.0,0.0,95683531.0,0.0,1000.0,1000.0,29200.0,250.0,4.0
64.04.54.254,192.168.10.15,443.0,56918.0,6.0,10.0,4.0,1.0,146688764.0,60524620.0,146688764.0,10.0,10.0,1.0,146688764.0,0.0,86164144.0,435376.0,4968.0,4968.0,8192.0,496.8,10.0
192.168.10.05,172.217.12.195,49217.0,443.0,6.0,12.0,6.0,1.0,90716129.0,2393407.0,0.0,13.0,13.0,0.0,93109536.0,0.0,90716129.0,0.0,1095.0,1095.0,8192.0,84.23076923076923,13.0
192.168.10.05,23.15.04.19,49225.0,80.0,6.0,5.0,1.0,1.0,167631818.0,71963762.0,167631818.0,6.0,6.0,1.0,167631818.0,0.0,95668056.0,77932.0,461.0,461.0,8192.0,76.83333333333333,6.0
198.41.215.185,192.168.10.05,80.0,49235.0,6.0,3.0,1.0,1.0,109788752.0,18139.0,0.0,3.0,3.0,0.0,109806891.0,0.0,109788752.0,0.0,2530.0,2530.0,29200.0,843.3333333333334,3.0
192.168.10.05,192.168.10.03,49192.0,88.0,6.0,8.0,2.0,2.0,37130692.0,1478.0,0.0,10.0,10.0,0.0,37132170.0,0.0,37130692.0,0.0,3498.0,3498.0,8192.0,349.8,10.0
192.168.10.05,192.168.10.03,49184.0,88.0,6.0,6.0,2.0,2.0,36179760.0,3924.0,0.0,8.0,8.0,0.0,36183684.0,0.0,36179760.0,0.0,3120.0,3120.0,8192.0,390.0,8.0
54.69.227.52,192.168.10.05,443.0,49207.0,6.0,15.0,6.0,1.0,88186890.0,4970921.0,0.0,15.0,15.0,0.0,93157811.0,0.0,88186890.0,0.0,10716.0,10716.0,26883.0,714.4,15.0
23.15.04.09,192.168.10.05,80.0,49226.0,6.0,8.0,1.0,1.0,95683461.0,26049.0,0.0,8.0,8.0,0.0,95709510.0,0.0,95683461.0,0.0,14472.0,14472.0,29200.0,1809.0,8.0
192.168.10.03,192.168.10.50,3268.0,52556.0,6.0,5.0,2.0,2.0,167821590.0,649.0,0.0,5.0,5.0,0.0,167822239.0,0.0,167821590.0,0.0,6414.0,6414.0,8192.0,1282.8,5.0
172.217.06.206,192.168.10.05,80.0,49213.0,6.0,5.0,2.0,1.0,90106754.0,3003532.0,0.0,5.0,5.0,0.0,93110286.0,0.0,90106754.0,0.0,1704.0,1704.0,42780.0,340.8,5.0
172.217.06.206,192.168.10.05,80.0,49211.0,6.0,6.0,3.0,1.0,89912230.0,3197580.0,0.0,6.0,6.0,0.0,93109810.0,0.0,89912230.0,0.0,2490.0,2490.0,42780.0,415.0,6.0
134.170.30.202,192.168.10.05,443.0,49221.0,6.0,61.0,39.0,1.0,106793012.0,14492915.0,106793012.0,61.0,61.0,1.0,106793012.0,0.0,92300097.0,2813907.0,81370.0,81370.0,4380.0,1333.9344262295083,61.0
134.170.30.202,192.168.10.05,443.0,49233.0,6.0,16.0,11.0,1.0,123908227.0,16635067.0,123908227.0,16.0,16.0,1.0,123908227.0,0.0,107273160.0,253295.0,12857.0,12857.0,4380.0,803.5625,16.0
192.168.10.05,192.168.10.03,49185.0,88.0,6.0,6.0,2.0,2.0,36196060.0,2619.0,0.0,8.0,8.0,0.0,36198679.0,0.0,36196060.0,0.0,796.0,796.0,8192.0,99.5,8.0
52.84.145.75,192.168.10.05,443.0,49209.0,6.0,7.0,2.0,1.0,88490326.0,4605661.0,0.0,7.0,7.0,0.0,93095987.0,0.0,88490326.0,0.0,4002.0,4002.0,29200.0,571.7142857142857,7.0
23.52.146.130,192.168.10.05,80.0,49200.0,6.0,4.0,1.0,1.0,148343328.0,109406237.0,148343328.0,4.0,4.0,1.0,148343328.0,0.0,38937091.0,121321.0,500.0,500.0,29200.0,125.0,4.0
192.168.10.05,172.217.09.228,49212.0,443.0,6.0,15.0,7.0,1.0,89913080.0,349335.0,0.0,16.0,16.0,0.0,90262415.0,0.0,89913080.0,0.0,1590.0,1590.0,8192.0,99.375,16.0
192.168.10.03,192.168.10.05,49666.0,49188.0,6.0,38.0,28.0,2.0,71086530.0,34277784.0,71086530.0,38.0,38.0,1.0,71086605.0,0.0,36808821.0,3143940.0,8044.0,8044.0,8192.0,211.68421052631578,38.0
192.168.10.05,65.55.252.71,49237.0,80.0,6.0,0.0,0.0,3.0,140509686.0,9016124.0,140509686.0,3.0,3.0,1.0,140509686.0,0.0,131493562.0,3003248.0,152.0,152.0,65535.0,50.666666666666664,3.0
192.168.10.05,23.202.233.152,49201.0,80.0,6.0,5.0,1.0,1.0,148319433.0,109197648.0,214085171.0,6.0,6.0,2.0,148319433.0,0.0,39121785.0,75759.0,479.0,479.0,65535.0,79.83333333333333,6.0
192.168.10.50,192.168.10.03,53566.0,389.0,6.0,10.0,4.0,2.0,167823324.0,954.0,0.0,12.0,12.0,0.0,167824278.0,0.0,167823324.0,0.0,812.0,812.0,29200.0,67.66666666666667,12.0
192.168.10.05,172.217.12.131,49219.0,443.0,6.0,14.0,8.0,1.0,91487296.0,1858769.0,0.0,15.0,15.0,0.0,93346065.0,0.0,91487296.0,0.0,1656.0,1656.0,8192.0,110.4,15.0
192.168.10.05,23.66.239.97,49236.0,80.0,6.0,4.0,1.0,1.0,165756688.0,43845489.0,165756688.0,5.0,5.0,1.0,165756688.0,0.0,121911199.0,737232.0,314.0,314.0,65535.0,62.8,5.0
192.168.10.05,134.170.30.202,49221.0,443.0,6.0,34.0,6.0,1.0,92250553.0,2863569.0,0.0,35.0,35.0,0.0,95114122.0,0.0,92250553.0,0.0,3091.0,3091.0,8192.0,88.31428571428572,35.0
192.168.10.05,104.88.107.204,49223.0,443.0,6.0,9.0,3.0,1.0,167631389.0,74179774.0,167631389.0,10.0,10.0,1.0,167631389.0,0.0,93451615.0,420669.0,1061.0,1061.0,8192.0,106.1,10.0
192.168.10.15,64.04.54.254,56918.0,443.0,6.0,11.0,6.0,1.0,146625531.0,60588302.0,146625531.0,12.0,12.0,1.0,146688854.0,0.0,86100552.0,541693.0,3768.0,3768.0,8192.0,314.0,12.0
23.66.239.97,192.168.10.05,80.0,49236.0,6.0,3.0,1.0,1.0,122171525.0,476875.0,0.0,3.0,3.0,0.0,122648400.0,0.0,122171525.0,0.0,486.0,486.0,29200.0,162.0,3.0
192.168.10.05,198.41.215.185,49235.0,80.0,6.0,4.0,1.0,1.0,109773566.0,838993.0,0.0,5.0,5.0,0.0,110612559.0,0.0,109773566.0,0.0,445.0,445.0,8192.0,89.0,5.0
192.168.10.05,52.84.145.75,49209.0,443.0,6.0,16.0,5.0,3.0,88467966.0,55136260.0,88467966.0,19.0,19.0,1.0,93096108.0,0.0,37959848.0,1729.0,4265.0,4265.0,8192.0,224.47368421052633,19.0
192.168.10.05,192.168.10.03,49186.0,88.0,6.0,8.0,2.0,2.0,36207456.0,4178.0,0.0,10.0,10.0,0.0,36211634.0,0.0,36207456.0,0.0,1036.0,1036.0,8192.0,103.6,10.0
192.168.10.05,54.69.227.52,49207.0,443.0,6.0,14.0,6.0,1.0,88102773.0,5055060.0,0.0,15.0,15.0,0.0,93157833.0,0.0,88102773.0,0.0,2968.0,2968.0,8192.0,197.86666666666667,15.0
172.217.10.131,192.168.10.05,443.0,49215.0,6.0,5.0,0.0,5.0,104806631.0,14320446.0,104806631.0,5.0,5.0,1.0,104806631.0,0.0,90486185.0,6319562.0,260.0,260.0,42780.0,52.0,5.0
192.168.10.05,23.15.04.09,49226.0,80.0,6.0,8.0,1.0,1.0,167631575.0,71963566.0,167631575.0,9.0,9.0,1.0,167631575.0,0.0,95668009.0,41301.0,563.0,563.0,8192.0,62.55555555555556,9.0
192.168.10.05,131.253.34.240,49234.0,443.0,6.0,10.0,4.0,1.0,109585104.0,1027324.0,0.0,11.0,11.0,0.0,110612428.0,0.0,109585104.0,0.0,2209.0,2209.0,65535.0,200.8181818181818,11.0
23.50.75.27,192.168.10.05,80.0,49232.0,6.0,6.0,3.0,1.0,104575133.0,82676.0,0.0,6.0,6.0,0.0,104657809.0,0.0,104575133.0,0.0,4384.0,4384.0,29200.0,730.6666666666666,6.0
104.88.107.204,192.168.10.05,443.0,49223.0,6.0,9.0,3.0,1.0,93474563.0,397636.0,0.0,9.0,9.0,0.0,93872199.0,0.0,93474563.0,0.0,9143.0,9143.0,29200.0,1015.8888888888889,9.0
192.168.10.05,23.50.75.27,49232.0,80.0,6.0,6.0,2.0,1.0,111418158.0,6866285.0,111418158.0,7.0,7.0,1.0,111418158.0,0.0,104551873.0,106086.0,762.0,762.0,8192.0,108.85714285714286,7.0
192.168.10.03,192.168.10.50,389.0,53562.0,6.0,8.0,2.0,2.0,167819334.0,1099.0,0.0,8.0,8.0,0.0,167820433.0,0.0,167819334.0,0.0,734.0,734.0,8192.0,91.75,8.0
192.168.10.03,192.168.10.50,389.0,53566.0,6.0,8.0,2.0,2.0,167823473.0,957.0,0.0,8.0,8.0,0.0,167824430.0,0.0,167823473.0,0.0,734.0,734.0,8192.0,91.75,8.0
65.55.252.93,192.168.10.05,443.0,49216.0,6.0,9.0,4.0,1.0,90736219.0,728560.0,0.0,9.0,9.0,0.0,91464779.0,0.0,90736219.0,0.0,5025.0,5025.0,8192.0,558.3333333333334,9.0
192.168.10.05,134.170.30.202,49218.0,80.0,6.0,5.0,1.0,1.0,90849866.0,1399663.0,0.0,6.0,6.0,0.0,92249529.0,0.0,90849866.0,0.0,466.0,466.0,8192.0,77.66666666666667,6.0
192.168.10.05,65.55.252.93,49216.0,443.0,6.0,11.0,6.0,1.0,98331355.0,7679343.0,98331355.0,12.0,12.0,1.0,98331355.0,0.0,90652012.0,853688.0,6806.0,6806.0,8192.0,567.1666666666666,12.0
192.168.10.05,172.217.06.206,49213.0,80.0,6.0,7.0,2.0,1.0,90069689.0,3040622.0,0.0,8.0,8.0,0.0,93110311.0,0.0,90069689.0,0.0,1198.0,1198.0,8192.0,149.75,8.0
192.168.10.05,198.41.215.185,49224.0,80.0,6.0,5.0,1.0,1.0,139799451.0,46044188.0,139799451.0,6.0,6.0,1.0,139799473.0,0.0,93755285.0,33879.0,485.0,485.0,8192.0,80.83333333333333,6.0
104.88.60.48,192.168.10.05,80.0,49199.0,6.0,4.0,1.0,1.0,148347339.0,109581050.0,148347339.0,4.0,4.0,1.0,148347339.0,0.0,38766289.0,24710.0,1816.0,1816.0,29200.0,454.0,4.0
192.168.10.05,192.168.10.03,49195.0,389.0,6.0,12.0,8.0,2.0,37975373.0,9517.0,0.0,14.0,14.0,0.0,37984890.0,0.0,37975373.0,0.0,4940.0,4940.0,8192.0,352.85714285714283,14.0
192.168.10.05,192.168.10.03,49183.0,88.0,6.0,8.0,2.0,2.0,36174152.0,3909.0,0.0,10.0,10.0,0.0,36178061.0,0.0,36174152.0,0.0,1024.0,1024.0,8192.0,102.4,10.0
192.168.10.05,192.168.10.03,49187.0,135.0,6.0,22.0,10.0,2.0,51092315.0,14285560.0,51092315.0,24.0,24.0,1.0,51092936.0,0.0,36807376.0,3206908.0,2648.0,2648.0,8192.0,110.33333333333333,24.0
192.168.10.05,23.52.146.130,49200.0,80.0,6.0,5.0,1.0,1.0,148319507.0,109429960.0,148319507.0,6.0,6.0,1.0,148343398.0,0.0,38913438.0,145062.0,390.0,390.0,65535.0,65.0,6.0
192.168.10.03,192.168.10.05,88.0,49186.0,6.0,8.0,2.0,2.0,36207581.0,5229.0,0.0,8.0,8.0,0.0,36212810.0,0.0,36207581.0,0.0,3288.0,3288.0,8192.0,411.0,8.0
192.168.10.03,192.168.10.05,88.0,49184.0,6.0,8.0,2.0,2.0,36180573.0,4498.0,0.0,8.0,8.0,0.0,36185071.0,0.0,36180573.0,0.0,3174.0,3174.0,8192.0,396.75,8.0
192.168.10.03,192.168.10.05,88.0,49196.0,6.0,10.0,2.0,2.0,37977630.0,3281.0,0.0,10.0,10.0,0.0,37980911.0,0.0,37977630.0,0.0,3434.0,3434.0,8192.0,343.4,10.0
192.168.10.03,192.168.10.05,88.0,49192.0,6.0,10.0,2.0,2.0,37130804.0,1594.0,0.0,10.0,10.0,0.0,37132398.0,0.0,37130804.0,0.0,3434.0,3434.0,8192.0,343.4,10.0
192.168.10.03,192.168.10.05,88.0,49194.0,6.0,10.0,2.0,2.0,37959978.0,1686.0,0.0,10.0,10.0,0.0,37961664.0,0.0,37959978.0,0.0,3454.0,3454.0,8192.0,345.4,10.0
192.168.10.03,192.168.10.05,88.0,49182.0,6.0,8.0,2.0,2.0,36160787.0,5675.0,0.0,8.0,8.0,0.0,36166462.0,0.0,36160787.0,0.0,702.0,702.0,8192.0,87.75,8.0
172.217.12.195,192.168.10.05,443.0,49220.0,6.0,10.0,5.0,1.0,91871530.0,124105.0,0.0,10.0,10.0,0.0,91995635.0,0.0,91871530.0,0.0,4978.0,4978.0,42780.0,497.8,10.0
192.168.10.05,172.217.09.228,49210.0,443.0,6.0,13.0,6.0,1.0,89791049.0,3318852.0,0.0,14.0,14.0,0.0,93109901.0,0.0,89791049.0,0.0,1134.0,1134.0,8192.0,81.0,14.0
192.168.10.05,23.15.04.09,49231.0,80.0,6.0,4.0,1.0,1.0,167631674.0,71963237.0,167631674.0,5.0,5.0,1.0,167631674.0,0.0,95668437.0,41592.0,396.0,396.0,8192.0,79.2,5.0
23.15.04.19,192.168.10.05,80.0,49230.0,6.0,4.0,1.0,2.0,95683694.0,17997.0,0.0,4.0,4.0,0.0,95701691.0,0.0,95683694.0,0.0,1781.0,1781.0,29200.0,445.25,4.0
23.15.04.19,192.168.10.05,80.0,49228.0,6.0,5.0,1.0,2.0,95683568.0,17808.0,0.0,5.0,5.0,0.0,95701376.0,0.0,95683568.0,0.0,5367.0,5367.0,29200.0,1073.4,5.0
23.15.04.19,192.168.10.05,80.0,49198.0,6.0,5.0,1.0,2.0,148334849.0,109756598.0,148334849.0,5.0,5.0,1.0,148334849.0,0.0,38578251.0,31965.0,714.0,714.0,29200.0,142.8,5.0
134.170.30.202,192.168.10.05,80.0,49218.0,6.0,5.0,3.0,1.0,90899405.0,52481.0,0.0,5.0,5.0,0.0,90951886.0,0.0,90899405.0,0.0,4298.0,4298.0,4380.0,859.6,5.0
192.168.10.50,192.168.10.03,52556.0,3268.0,6.0,6.0,2.0,2.0,167821489.0,898.0,0.0,8.0,8.0,0.0,167822387.0,0.0,167821489.0,0.0,952.0,952.0,29200.0,119.0,8.0
192.168.10.05,184.25.102.48,49206.0,80.0,6.0,6.0,1.0,1.0,92539487.0,10707169.0,92539487.0,7.0,7.0,1.0,93124578.0,0.0,82417409.0,114137.0,585.0,585.0,8192.0,83.57142857142857,7.0
198.41.215.185,192.168.10.05,80.0,49224.0,6.0,5.0,1.0,1.0,139799423.0,46043746.0,139799423.0,5.0,5.0,1.0,139814402.0,0.0,93770656.0,18402.0,2610.0,2610.0,29200.0,522.0,5.0
192.168.10.05,104.88.60.48,49199.0,80.0,6.0,5.0,1.0,1.0,148319595.0,109604187.0,148319595.0,6.0,6.0,1.0,148347395.0,0.0,38743208.0,47858.0,433.0,433.0,65535.0,72.16666666666667,6.0
192.168.10.05,192.168.10.03,49196.0,88.0,6.0,8.0,2.0,2.0,37977499.0,3248.0,0.0,10.0,10.0,0.0,37980747.0,0.0,37977499.0,0.0,3498.0,3498.0,8192.0,349.8,10.0
192.168.10.05,72.21.91.29,49208.0,80.0,6.0,6.0,2.0,1.0,88285851.0,4811469.0,0.0,7.0,7.0,0.0,93097320.0,0.0,88285851.0,0.0,1162.0,1162.0,8192.0,166.0,7.0
23.15.04.09,192.168.10.05,80.0,49231.0,6.0,4.0,1.0,1.0,95683739.0,26332.0,0.0,4.0,4.0,0.0,95710071.0,0.0,95683739.0,0.0,2569.0,2569.0,29200.0,642.25,4.0
23.15.04.09,192.168.10.05,80.0,49229.0,6.0,3.0,1.0,1.0,95683645.0,20609.0,0.0,3.0,3.0,0.0,95704254.0,0.0,95683645.0,0.0,1362.0,1362.0,29200.0,454.0,3.0
23.15.04.09,192.168.10.05,80.0,49227.0,6.0,20.0,1.0,1.0,95683604.0,26015.0,0.0,20.0,20.0,0.0,95709619.0,0.0,95683604.0,0.0,35339.0,35339.0,29200.0,1766.95,20.0
172.217.12.131,192.168.10.05,443.0,49219.0,6.0,18.0,7.0,1.0,91524174.0,1821859.0,0.0,18.0,18.0,0.0,93346033.0,0.0,91524174.0,0.0,5853.0,5853.0,42780.0,325.1666666666667,18.0
184.25.102.48,192.168.10.05,80.0,49206.0,6.0,5.0,1.0,1.0,92590213.0,10656514.0,92590213.0,5.0,5.0,1.0,93124554.0,0.0,82468040.0,51406.0,608.0,608.0,29200.0,121.6,5.0
192.168.10.03,192.168.10.05,135.0,49187.0,6.0,16.0,10.0,2.0,51092527.0,14285115.0,51092527.0,16.0,16.0,1.0,51092631.0,0.0,36807516.0,3144459.0,2448.0,2448.0,8192.0,153.0,16.0
192.168.10.03,192.168.10.05,49671.0,49190.0,6.0,10.0,4.0,2.0,51092676.0,14273817.0,51092676.0,10.0,10.0,1.0,51092779.0,0.0,36818962.0,4386.0,2584.0,2584.0,8192.0,258.4,10.0
192.168.10.05,172.217.10.131,49214.0,443.0,6.0,72.0,12.0,1.0,90229095.0,2880049.0,0.0,73.0,73.0,0.0,93109144.0,0.0,90229095.0,0.0,5170.0,5170.0,8192.0,70.82191780821918,73.0
192.168.10.05,23.15.04.19,49198.0,80.0,6.0,6.0,1.0,1.0,148319629.0,109772021.0,148319629.0,7.0,7.0,1.0,148334902.0,0.0,38562881.0,47425.0,492.0,492.0,65535.0,70.28571428571429,7.0
192.168.10.05,23.15.04.19,49230.0,80.0,6.0,5.0,1.0,1.0,167631514.0,71963145.0,167631514.0,6.0,6.0,1.0,167631514.0,0.0,95668369.0,33456.0,468.0,468.0,8192.0,78.0,6.0
131.253.34.240,192.168.10.05,443.0,49234.0,6.0,7.0,3.0,1.0,109634804.0,290057.0,0.0,7.0,7.0,0.0,109924861.0,0.0,109634804.0,0.0,5102.0,5102.0,8192.0,728.8571428571429,7.0
192.168.10.05,172.217.06.206,49211.0,80.0,6.0,9.0,3.0,1.0,89875530.0,3234305.0,0.0,10.0,10.0,0.0,93109835.0,0.0,89875530.0,0.0,1711.0,1711.0,8192.0,171.1,10.0
